V_LA,V_LV,V_RA,V_RV,P_LV,P_RV,P_LA,P_RA,Q_MV,Q_AV,Q_TV,Q_PV,P_Ar_Sys,P_Ven_Sys,P_Ar_Pul,P_Ven_Pul,Q_Ar_Sys,Q_Ven_Sys,Q_Ar_Pul,Q_Ven_Pul
130.2852262501805,79.5757934269397,90.89873145367879,73.47860520992175,102.2831430784845,22.961423112626623,22.37134072503249,6.082911201757516,-0.0010656203774002395,-0.00033937952083162257,-0.00022524605889943475,-7.532297438507998e-05,127.722374921782,37.11912573660797,28.594758371648297,24.43340282203289,108.24672489606174,97.02078952844946,135.50907682353954,62.69473782966127
130.34779080179123,79.57579270752508,90.99574323223665,73.47860506152746,101.74853561659573,22.84584892154249,22.38260234432242,6.089702026256566,-0.0010583427247568588,-0.0003457856493676842,-0.00022361466099030352,-7.675578653278654e-05,127.66826691530933,37.11923777777035,28.586654419013566,24.436128381708837,108.18194376134302,96.9999131549966,135.15955754869387,62.43092524781744
130.4100922261781,79.57579200183463,91.0927341304114,73.47860491620625,101.21091196397907,22.72962266250919,22.393816600712057,6.096491389128799,-0.0010510254910174536,-0.0003522324221656147,-0.00022197458906277157,-7.819757113660796e-05,127.61419128678729,37.11934938009693,28.57857137456572,24.438850718604563,108.11720183630091,96.97904247026123,134.81074987689627,62.168502918400435
130.47213190900425,79.57579130994792,91.18970415684711,73.47860477397565,100.67032393882026,22.61275553791999,22.404983743620765,6.103279290979298,-0.0010436693637087993,-0.00035871914811024967,-0.00022032599246203663,-7.964817826686742e-05,127.56014801659741,37.11946054389313,28.570509195601186,24.441569807530477,108.05249909706,96.95817398213849,134.46265641323487,61.907461845588294
130.5339112270325,79.57579063194308,91.28665331626517,73.47860463485283,100.1268236450114,22.495258811937205,22.41610402086585,6.110065732138563,-0.0010362750341881485,-0.00036524513227756595,-0.00021866902136048578,-8.110745716886852e-05,127.50613708513346,37.11957126950341,28.562467839275453,24.444285623718553,107.9878355197739,96.93730670845436,134.1152795756411,61.647793112221436
130.59543154820045,79.57578996789688,91.38358161066286,73.4786044988547,99.58046346710589,22.377143809401456,22.42717767867608,6.116850712746401,-0.0010288431975757624,-0.000371809676001903,-0.00021700382674204197,-8.257525627755766e-05,127.45215847279918,37.11968155729923,28.554447262613817,24.446998142812735,107.92321108061745,96.91644141275329,133.76862160572935,61.389487878388024
130.65669423161552,79.57578931788467,91.48048903930724,73.47860436599784,99.0312960653159,22.258421914750176,22.438204961690793,6.123634232751508,-0.0010213745526882526,-0.0003784120769427165,-0.00021533056038774406,-8.405142323193215e-05,127.39821216001286,37.119791407679095,28.546447422512095,24.449707340868713,107.85862575579229,96.89558060298826,133.42268456883988,61.13253738144409
130.71770062766288,79.57578868198043,91.57737560326417,73.47860423629854,98.47937437040608,22.139104570913645,22.449186112979316,6.130416292228492,-0.0010138698019702252,-0.00038505162915261745,-0.0002136493748568092,-8.553580488987486e-05,127.34429812720434,37.1199008210233,28.538468275746922,24.45241319434342,107.7940795215039,96.8747256375798,133.07747036418027,60.87693293428956
130.77845207800337,79.5757880602567,91.6742413102722,73.4786041097728,97.92475157860763,22.019203278215493,22.460121374040604,6.1371968917190545,-0.001006329651426494,-0.00039172762314518365,-0.00021196042346742047,-8.702824734273978e-05,127.29041635481641,37.12000979764514,28.530509778971755,24.455115680097638,107.72957235394401,96.8538736055278,132.73298072058176,60.6226659256318
130.83894991574272,79.57578745278464,91.77108616604815,73.4786039864363,97.36748114645958,21.898729593257347,22.47101098483369,6.143976031623371,-0.000998754810552882,-0.00039843934596370354,-0.00021026386028997506,-8.852859593054856e-05,127.23656682330186,37.12011833787797,28.52257188874243,24.45781477537363,107.66510422932396,96.83302289236667,132.38921722174302,60.369727816798125
130.89919546555998,79.57578685963392,91.86791017378977,73.47860386630434,96.8076167857038,21.77769512781525,22.481855183800796,6.150753712165284,-0.0009911459922678652,-0.00040518608124928517,-0.00020855984013283527,-9.00366952569286e-05,127.18274951312789,37.120226442080046,28.514654561535394,24.460510457778973,107.60067512388203,96.81217349281788,132.04618132323122,60.118110139364006
130.95919004371112,79.57578628087283,91.96471333418148,73.47860374939201,96.24521245807699,21.656111547713657,22.492654207868,6.157529933392705,-0.0009835039128431274,-0.00041196710931026137,-0.00020684851852730942,-9.155238920410474e-05,127.12896440477341,37.120334110634495,28.50675775374729,24.463202705286655,107.53628501387983,96.79132701078848,131.70387435246258,59.86780449513847
131.01893495803782,79.57578571656822,92.0614956455354,73.47860363571408,95.68032237012551,21.533990571704482,22.503408292446807,6.164304695187479,-0.0009758292918343988,-0.00041878170719131865,-0.00020513005171257992,-9.307552094784553e-05,127.07521147873014,37.12044134394799,28.498881421696055,24.465891496234054,107.47193387560343,96.77048656741496,131.36229750954826,59.61880255601212
131.07843150811735,79.57578516678541,92.15825711074629,73.47860352528495,95.11300096794862,21.41134397033061,22.514117671461122,6.171077997752241,-0.0009681228520110266,-0.0004256291487435536,-0.00020340459661405747,-9.460593297272412e-05,127.02149071549975,37.12054814238112,28.491025521630146,24.46857680931161,107.40762168533116,96.74965235497595,131.02145187603952,59.37109606193404
131.1376809851927,79.57578463158846,92.25499773950551,73.4786034181187,94.54330293199982,21.28818356480184,22.524782577334687,6.177849841765386,-0.0009603853192868228,-0.0004325087046938309,-0.00020167231082633151,-9.614346708702091e-05,126.96780209559849,37.120654506226245,28.48319000972314,24.471258623568726,107.34334841933071,96.72882021548895,130.681338409264,59.12467682195742
131.19668467241453,79.57578411103972,92.35171753840581,73.47860331422919,93.9712831717834,21.16452122584864,22.535403241034615,6.1846202276884075,-0.0009526174226487857,-0.00043941964271545386,-0.0001999333526071236,-9.768796443835885e-05,126.91414559955403,37.12076043580652,28.475374842101125,24.47393691838764,107.2791140538962,96.70798797444311,130.3419579689773,58.87953671021792
