P_LV,P_RV,V_LV,V_RV
131.40013930552126,35.48310540544653,105.02964694672647,122.71934157585773
131.57337499689916,35.51455201568343,104.33304460163642,121.64376858528645
131.74136539525966,35.53745449277839,103.65266805193238,120.57251123497049
131.90423530263408,35.55219363695803,102.98811552323045,119.50663187631149
132.06209867982167,35.55915049160477,102.33899383993801,118.44713364485887
132.21506106265008,35.558705124597495,101.7049193254852,117.3949610010523
132.36323229035077,35.55123547031553,101.085523226665,116.35100042282662
132.5067163764698,35.53711623481802,100.48044666642859,115.31608123977188
132.64561530543583,35.516717867814286,99.88934200037725,114.29097660195602
132.780019621112,35.49040560307925,99.31186836994753,113.2764045729471
132.91002916908795,35.45853857260456,98.74770040747049,112.27302934639735
133.0357366551192,35.42146898175001,98.19652066481166,111.28146254187013
133.1572221321753,35.37954136373027,97.65801708039447,110.30226461481078
133.2745771731472,35.33309190780774,97.13189287280115,109.33594635568386
133.3878879182995,35.28244784554543,96.61785897967265,108.38297043130208
133.49722634173122,35.227926915748135,96.11563027955789,107.44375301158992
133.60267509925228,35.16983690351794,95.62493550757829,106.51866546248917
133.7043148271329,35.10847523134598,95.14551165831276,105.60803604725028
133.80221056253734,35.04412862217572,94.67709836199758,104.71215167938104
133.89643628431162,34.97707283552801,94.21944743895146,103.83125972495412
133.98706779140505,34.90757244786737,93.77231968010523,102.96556978444251
134.07416427599986,34.83588069362049,93.33547747400273,102.11525549119115
134.15779128023502,34.76223937654085,92.90869353010471,101.28045634635187
134.23802023864008,34.686878817290456,92.4917503256366,100.46127951217785
134.3149054822412,34.6100178467943,92.08443117677187,99.65780158691602
134.38850441249255,34.53186386568778,91.6865277254721,98.87007040625495
134.45888438745044,34.45261293284541,91.29784217061565,98.09810679054517
134.52609575461943,34.37244988259204,90.91817707865334,97.34190624020462
134.5901881697837,34.29154850232264,90.54734130286406,96.60144065001829
134.65122501957867,34.21007173358068,90.18515493443257,95.87665996430995
134.7092534351195,34.12817188415453,89.83143825310684,95.16749375122798
134.7643158561722,34.04599089344271,89.4860158295489,94.473852788674
134.8164716199913,33.96366061746671,89.1487239414678,93.79563059343711
134.8657652911156,33.88130310822275,88.81939917105173,93.1327048459425
134.91223278728336,33.79903093782358,88.4978805295093,92.4849388194355
